iter	Passed	Remaining
738	999	352
739	1000	351
740	1001	350
741	1003	348
742	1004	347
743	1005	346
744	1006	344
745	1007	343
746	1008	341
747	1010	340
748	1011	338
749	1012	337
750	1013	336
751	1015	334
752	1016	333
753	1017	331
754	1018	330
755	1019	329
756	1020	327
757	1021	326
758	1022	324
759	1024	323
760	1025	321
761	1026	320
762	1027	319
763	1028	317
764	1030	316
765	1031	315
766	1032	313
767	1033	312
768	1034	310
769	1036	309
770	1037	308
771	1038	306
772	1039	305
773	1040	303
774	1041	302
775	1043	301
776	1044	299
777	1045	298
778	1046	296
779	1047	295
780	1048	294
781	1049	292
782	1051	291
783	1052	289
784	1053	288
785	1054	287
786	1056	285
787	1057	284
788	1058	283
789	1060	281
790	1061	280
791	1062	279
792	1063	277
793	1065	276
794	1066	274
795	1067	273
796	1068	272
797	1069	270
798	1071	269
799	1072	268
800	1073	266
801	1074	265
802	1076	263
803	1077	262
804	1078	261
805	1079	259
806	1080	258
807	1082	257
808	1083	255
809	1084	254
810	1085	253
811	1087	251
812	1088	250
813	1089	248
814	1090	247
815	1091	246
816	1092	244
817	1094	243
818	1095	242
819	1096	240
820	1097	239
821	1098	237
822	1099	236
823	1100	235
824	1102	233
825	1103	232
826	1104	231
827	1105	229
828	1107	228
829	1108	226
830	1109	225
831	1110	224
832	1112	222
833	1113	221
834	1114	220
835	1115	218
836	1116	217
837	1117	216
838	1118	214
839	1119	213
840	1121	211
841	1122	210
842	1123	209
843	1124	207
844	1125	206
845	1126	205
846	1127	203
847	1129	202
848	1130	201
849	1131	199
850	1132	198
851	1134	197
852	1135	195
853	1136	194
854	1137	192
855	1138	191
856	1139	190
857	1141	188
858	1142	187
859	1143	186
860	1144	184
861	1145	183
862	1146	182
863	1147	180
864	1148	179
865	1150	178
866	1151	176
867	1152	175
868	1154	173
869	1155	172
870	1156	171
871	1157	169
872	1158	168
873	1159	167
874	1160	165
875	1161	164
876	1163	163
877	1164	161
878	1165	160
879	1166	159
880	1167	157
881	1169	156
882	1170	155
883	1171	153
884	1172	152
885	1173	150
886	1174	149
887	1175	148
888	1176	146
889	1178	145
890	1179	144
891	1180	142
892	1182	141
893	1183	140
894	1184	138
895	1185	137
896	1186	136
897	1187	134
898	1189	133
899	1190	132
900	1191	130
901	1192	129
902	1193	128
903	1194	126
904	1195	125
905	1196	124
906	1198	122
907	1199	121
908	1200	120
909	1201	118
910	1202	117
911	1203	116
912	1204	114
913	1205	113
914	1206	112
915	1207	110
916	1209	109
917	1210	108
918	1211	106
919	1212	105
920	1213	104
921	1214	102
922	1216	101
923	1217	100
924	1218	98
925	1219	97
926	1220	96
927	1221	94
928	1222	93
929	1223	92
930	1224	90
931	1226	89
932	1227	88
933	1228	86
934	1229	85
935	1230	84
936	1231	82
937	1232	81
938	1233	80
939	1234	78
940	1235	77
941	1236	76
942	1238	74
943	1239	73
944	1240	72
945	1241	70
946	1242	69
947	1243	68
948	1245	66
949	1246	65
950	1247	64
951	1248	62
952	1249	61
953	1250	60
954	1251	58
955	1252	57
956	1254	56
957	1255	55
958	1256	53
959	1257	52
960	1258	51
961	1259	49
962	1260	48
963	1261	47
964	1263	45
965	1264	44
966	1265	43
967	1266	41
968	1267	40
969	1268	39
970	1270	37
971	1271	36
972	1272	35
973	1273	33
974	1274	32
975	1274	31
976	1275	30
977	1276	28
978	1277	27
979	1278	26
980	1279	24
981	1280	23
982	1281	22
983	1282	20
984	1284	19
985	1285	18
986	1286	16
987	1287	15
988	1288	14
989	1289	13
990	1289	11
991	1290	10
992	1292	9
993	1293	7
994	1294	6
995	1295	5
996	1296	3
997	1296	2
998	1298	1
999	1299	0
